Symbol,Retinal_Cell_Type_Rob,Notes_on_Evidence_Source_Cell_Type
Sh2d1a,,
Gm15821,,
Gm5878,,
Gpi1,"RGC candidate, stressed",
Trim60,,
Mbd5,,
Prep,RGC prime candidate,High covariation with all core RGC reference genes except Jam2
Defb30,SY_informative,SY_informative
Sod3,,
Dgkh,RGC master,RGC_Type_7
Plek2,,
Zp1,,
Cage1,,
Olfr1357,,
Gm20402,,
Slc51a,,
Mir126a,Endothelium,"Zhao et al., PMID:29501382 in endothelial cells"
Gm16223,,
Ddx31,,
Olfr916,,
Tcaf3,,
Gm9,,
Pggt1b,,
Atp5s,,
Gabra6,,
Gm12531,,
Klk1b9,,
Olfr1512,,
Polr2g,,
Erich4,,
Gm20403,,
Cd8a,,
Vmn2r99,,
Pcdh18,"RGC mixed low, pericyte",Geisert High covariation with NF eigengene
Tgtp1,,
Foxa3,,
Gm17039,,
Nceh1,,
Fga,,
Gigyf2,,
Col3a1,Pericyte,
4930552P12Rik,,
Cnga2,,
Fgf2,,
2010001E11Rik,,
Napg,,
Slc35g1,,
Prkcg,RGC master,RGC_Type_16
Speer4c,,
Polr1c,,
Olfr262,,
AU021092,"RGC mixed low, endothelium",RGC suggested by SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Ablim1,Bipolar,
Gm9996,,
Shox2,,Upregulated in D2 mutant relative to control by about a factor of 17.1967316153363
1700001D01Rik,,
Gm24853,,
Mta3,,
Prps1l1,,
Hps6,,
Nt5dc1,,
Nron,,
Cntln,,
Cfap70,,
Pnliprp1,,
Pdgfc,,
Ccdc154,,
Il27ra,,
Gm13278,,
Ccr6,,
Dalir,,
Plekha8,,
Ddx26b,,
Snai2,,
Fam177a,,
Gckr,,
AI661453,,
Gemin6,,
6330416G13Rik,,
Mir5110,,
1500015L24Rik,,
Rab11fip5,RGC candidate,BXD_Thy1_Cov
Gm27718,,
AL603834.1,,
Lbx2,,
6030443J06Rik,,
Amer2,,
BC049730,,
Pou2af1,,
1010001N08Rik,,
4930402K13Rik,,
Mir1b,,
mmu-mir-7238,,
Pnmal1,,
Itih1,,
Ifna16,,
Olfr1178,,
Murc,,
Gm16170,,
Olfr1179,,
Epcam,,
Abcg8,,
Txnrd3,,
Egr4,RGC low,Wang et al 2007: PMC2885852
Wdr24,,
RP23-137P16.2,,
Tet1,,
Wdr43,,
Gm12253,,
Rhcg,,
Stk39,,
Zfp760,,
Foxf2,,
Card6,,
Dhx33,,
AU018091,,
Stc1,,
2810425M01Rik,,
Gm26762,,
Gas2,,
Lyn,,
Zfp37,,
Gm10408,,
Cdnf,,
Plin5,,
Pkdrej,,
Olfr918,,
Dlx1as,,
8030423J24Rik,,
Cdkn1a,Endothelium,
Mir6400,,
Arrdc5,,
Cyth4,"Microglia, retinal stress",SY adult sc_RNA-seq cluster 32 high = microglia
Gm5106,,
Unkl,,
Spata31d1d,,
Rapgef4os2,,
Ccnj,,
Adgrl3,,
Sall1,,
Dkkl1,,
Chac2,,
Gm16323,,
Prmt5,RGC prime candidate,High covariation with all core RGC reference genes except Jam2
Lmx1b,,
Olfr48,,
Adk,,
Polr3g,,
Slc25a14,,
Sult2a3,,
Usp46,,
Cwc22,,
Gm26635,,
Colec12,,
AC092711.4,,
mt-Rnr2,"Mitochondrial, housekeeping",Well expressed in all cells
Dph1,,
Olfr154,,
4930431P03Rik,,
Atg2a,RGC candidate,BXD_Thy1_Cov
Crh,"RGC master, stress, amacrine",RGC_Type_39
Rtp2,,
Gja10,,
Pnliprp2,,
Zfp579,,
Utp3,,
Gm4884,,
Rnaseh1,,
5430427O19Rik,,
Stra8,,
Rrm2,,
Parp6,,
Olfr1180,,
Mir6371,,
mmu-mir-1a-2,,
Clip3,RGC candidate,HSA_ThyRbpms_Cov
Tex30,,
D6Ertd527e,,
A430057M04Rik,,
Mir1907,,
RP23-423J10.4,,
Exoc5,Amacrine,PMC2127397
Mir301b,,
Lilra6,,
3930402G23Rik,,
Gm16153,,
Fscb,,
Xpnpep2,,
Eml4,,
Trpm8,,
BC023719,,
Gm23394,,
Paqr8,RGC candidate,"HSA_ThyRbpms_Cov,  "
Gsg2,,
Ntmt1,,
Atxn7l1os2,,
Atp6v0e2,RGC candidate Dec18,
4930546C10Rik,,
Saa1,,
Nipsnap1,,
Ube2s,"RGC candidate, stress",
Snord87,,
Fgf1,Amacrine,
Aldh8a1,,
RP23-465P18.1,,
Scaper,,
Olfr1201,,
Ptgdr2,,
4933412E24Rik,,
Mesdc1,,
Cyp39a1,,
Rdh8,,
Chek1,,
Blm,,
Iqgap3,"RGC candidate, stressed","SY TSNE cluster 47L contains MEF2D (immune response etc), IQGAP3 (cancer and proliferation)"
Ttc37,,
Man2a1,,
Chrm1,"RGC master, amacrine",RGC_Type_39
Dsg1c,,
Gm28777,,
Cd38,,
Mboat1,,
Pik3ca,,
Trem3,,
Zfp92,,
Gm11992,,Upregulated in D2 mutant relative to control by about a factor of 12.4198617221873
A230050P20Rik,,
Aqp1,"RGC candidate, amacrine",SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Gm10767,,
Dpf3,,
Tmprss11a,,
4933402E13Rik,,
Fam90a1a,,
Btnl10,,
Prl3d1,,
Olfr1370,,
Tm4sf19,,
St6galnac4,,
4933415F23Rik,,
Immt,,
Ddx60,,
Kbtbd6,,
Cbl,,
Tm4sf20,,
Sertm1,,
Mypop,RGC candidate,BXD_Thy1_Cov
Ndufv3,,
Gm26947,,
Mcm3,,
Osbpl1a,"RGC mixed, amacrine, horizontal",
Coq3,,
Gm26631,,
Cnnm2,,
Amph,,
Omd,,
Trim39,,
Gm37026,,
Hyal4,,
Gm12146,,
4930595M18Rik,,
Olfr1170,,
Pgbd1,,
Wdr44,,
Tmprss13,,
Gm11487,,
Ttc24,"RGC candidate, stressed","SY TSNE cluster 47L contains MEF2D (immune response etc), IQGAP3 (cancer and proliferation)"
Gpr101,RGC master low,RGC_Type_29
Zfp784,,
Gm13749,,
Bpifc,,
Upk3a,,
Efna2,RGC candidate,High covariation with Rbpms2
Tada2a,RGC candidate,BXD_Thy1_Cov
Fam185a,,
Inpp4a,,
Pim2,,
Acot3,,
5830416P10Rik,,
Neu2,,
Hcls1,,
Cep68,,
C87499,,
Slc26a5,,
Fbp2,RGC master,RGC_Type_25 
Cylc2,,
Dhrs2,,
4930426L09Rik,,
9530026F06Rik,,
Prr18,,
Gm2155,,
Alg10b,RGC master low,RGC_Type_6
Pou5f1,,
Rint1,,
Agtr1b,,
Gm15657,,
Lrrc4b,RGC candidate,BXD_Thy1_Cov
Gm2447,,
Dlx5,,
Acot6,,
Fhl2,,
Fbxo8,,
Gsdmc3,,
Smim18,,
4933404K08Rik,,
Olfr1254,,
Zfp788,,
Gm13277,,
4930502E18Rik,,
4930555B11Rik,,
Zdhhc23,,
Bcorl1,,
Mfsd3,,
Commd4,,
Tmprss11b,,
Tgfbi,"RGC candidate, stress",
1700027A15Rik,,
Hs3st3a1,,
Arl14,,
Rbm3os,,
Ugt2a2,,
Gm13583,,
Spsb3,,
Gm20700,,
Cd209c,,
RP24-372J8.3,,
E230015B07Rik,,
B230208H11Rik,,
Pcgf1,,
Spag16,,
Mir130b,,
Hoxa6,,
Gabrq,,
Nlrp9b,,
4732440D04Rik,,
Scgb2b12,,
Cyp2c55,,
Slc44a1,,
Dysf,,
C2cd4b,,
5730403I07Rik,,
Gm26548,,
Mir3078,,
Nat8,,
Fam170b,,
Ccdc108,,
Ackr3,,
Ccdc105,,
Lrriq4,,
Cyp7a1,,
Vmn1r236,,
Gata1,,
Pabpc4l,,
Pbx3,Unknown,
Krit1,,
AU016765,,Upregulated in D2 mutant relative to control by about a factor of 14.2803268384664
Msln,,
Unc45b,,
C230037L18Rik,,
Mir7084,,
Ddo,,
Phf11d,SY_informative,SY_informative
C130060K24Rik,,
Redrum,,
Chd9,Bipolar low (BC5),"Shekar 2016 bipolar cell signature, RGC high THY/CD ratio"
Mir16-1,,
Angpt2,Horizontal,
Il12b,,
Il1rapl1,RGC candidate Dec18,
Naa15,,
Ube2d1,,
Gbf1,RGC candidate,BXD_Thy1_Cov
Ccl1,,
Abhd10,Horizontal,
Vmn2r100,,
1700042G15Rik,,
Gm26563,,
Gm6268,,
Med26,RGC candidate Dec18,
Olfr392,,
Scarna3b,,
Ppp1r12c,,
Il2ra,,
Palm2,,
4930429F24Rik,,
Ppp1r32,,
Emx2,,
Cspp1,,
Rnf125,SY_informative,SY_informative
Nanos2,,
Kiss1r,,
Spock2,"RGC mixed, amacrine, endothelium","Wiki_RGCHSA_ThyRbpms_Cov,  "
Adamdec1,,Upregulated in D2 mutant relative to control by about a factor of 19.1074795725958
Sgsm3,,
Slc25a27,,
1700010I02Rik,,
Zfp935,,
Pdgfra,Amacrine low,
Reg1,SY_informative,SY_informative
Slc34a3,,
Foxb1,,
Ccdc71l,,
Ccne2,,
Dip2c,,
Gm38336,,
Atp4a,,
Gm22820,,
Taf5,,
Tube1,,
Phf6,,
Dlx2,RGC master low,Rheaume reference RGC marker 
Gm26771,,
Olfr77,,
Gm36995,,
Col6a3,,
Fbxo25,RGC prime candidate,High covariation with Tubb3
Olfr371,,
Efna3,,
Cyp2c67,,
Ska3,RGC master,RGC_Type_6
Pbld2,,
Sbk2,,
Csta1,,
Slc5a10,,
Ovol3,,
2010111I01Rik,,
Frmd7,,Upregulated in D2 mutant relative to control by about a factor of 12.3192960402263
Gm17364,,
BC106179,,
Tmem141,,
E130308A19Rik,,
Gm3428,,
Nlrp2,,
Ibtk,,
RP24-80F7.5,,
Mir133a-1,,
Apol7b,,
Hist1h4d,,
Gm10311,,
Lrba,,
Fam227a,,
Snx31,RGC master,RGC_Type_18
AC164538.1,,
Gm13547,,
RP23-179A12.2,,
Psg26,,
Plekhs1,,
AB124611,,
Mir22,,
Gm27179,,
Saa4,,
RP24-353A8.1,,
Gm28048,Housekeeping,
Agmo,,
Gm16551,Horizontal,
Anln,,
Tspyl1,,
Sac3d1,,
Sall3,,
Lilr4b,,
Gm15651,,
Clec10a,"RGC master, amacrine",RGC_Type_40
Scgb1b12,,
Il5,,
Ighmbp2,,
Gpr21,,
Prl2b1,,
Pcyox1l,,
Akr1c19,,Upregulated in D2 mutant relative to control by about a factor of 16.191074795726
Aqp7,,
Apol6,,
Yipf2,,
Rtkn2,,
Pde6c,"Photoreceptor, cone",
Gm15475,,
Meig1,,
Gldn,RGC master,RGC_Type_25 
Zc2hc1b,,
Tcf20,,
Zfp704,,
Sgol2b,,
Clec4g,,
Ubash3a,,
Fcnaos,,
Tpte,,
D16Ertd472e,RGC candidate,"Wiki_RGC,  "
Slc25a37,,
Zfp251,SY_informative,SY_informative
Gm16731,,
Gm15841,,
R3hcc1l,,
Iglon5,RGC candidate,"HSA_ThyRbpms_Cov, BXD_Thy1_Cov"
Katnal2,,
Papd5,,
Mir6389,,
C920006O11Rik,,
Glyatl3,,
Nr0b1,RGC master low,RGC_Type_14
Lipf,,
Fam47c,,
Fam207a,,
Sftpb,,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Adad1,,
Gdpd1,,
Cnih2,RGC prime candidate,BXD_Thy1_Cov
Cenpw,,
Olfr1111,,
Vmn1r199,,
E030030I06Rik,,
Zcchc10,,
Odf4,,
Gm26768,,
Cd83,"Microglia, retinal stress",
Gm27421,,
2610042L04Rik,,
Rhag,,
Mthfd2,,
Dscc1,,
Gm10110,,
4933436I01Rik,,
Nol6,RGC candidate,BXD_Thy1_Cov
Shb,,
Slc39a14,,
Gm10466,,Upregulated in D2 mutant relative to control by about a factor of 11.0119421747329
Gm14511,,
Slc9c1,,
Pglyrp1,,
Htr3a,Bipolar low (BC5A BC5D),Shekar 2016
9430037G07Rik,,
9430073C21Rik,,
Cysltr2,,
Sult2a7,,
Olfr59,,
4930507D10Rik,,
Krtap13-1,,
2810417H13Rik,,
Eftud1,,
Zfp354a,,
Atf7ip2,,
Olfr1417,,
Lclat1,,
Vmn2r89,,
Nudt15,,
Gm37915,,
Rbmxl1,,
Agxt2,,
Acp1,,
Gm22123,,
Nudt6,,
Vmn1r5,,
Npc1l1,,
Them6,,
Gm13757,,
mmu-mir-466e,,
Gm2245,,
Snord49b,,
Mcu,,
Peg3,,
Il18r1,,
Rnf113a1,,
Mthfd1,,
Nell1os,,
Reg3g,,
Kcng2,"RGC master, amacrine",RGC_Type_39
Cdk20,,
Mir15a,,
Akap12,Horizontal,
Cspg4,Pericyte,SY_informative
Acot5,,
Pif1,,
Lipk,,
Gm37388,Housekeeping,
Dnajc5b,,
Mpv17l,,
Cyp2c68,,
Appl1,,
Itih2,,
Pcdh20,RGC master low,RGC_Type_19 
1700034P13Rik,,
Gm4890,,
Pqlc3,,
RP23-20L3.2,,
Gnptg,,
Rpa3,,
Klhdc10,,
Gm16033,,
Msc,,
Gm28309,,
Fancm,,
Trcg1,,
Samd4,,
2410012E07Rik,,
Parpbp,,
Psg21,,
Myo19,,
Cdkn2a,,
Gm16976,,
2310069G16Rik,,
Olfr146,,
Limk2,,
Mmd,,
Reg2,,
Zfp398,,
Cd209a,,
Vmn1r220,,
Gm37013,Housekeeping,RGC candidate at one point by Rob
Tmprss3,,
Airn,,
Rnf39,,
Olfr1024,,
Tsga10ip,,
Snord53,,
Nudcd2,RGC candidate,BXD_Thy1_Cov
Sfrp5,,
Mtmr7,,
Dnajc15,,
Maml3,,
Elovl2,,
Crkl,,
Snord49a,,
Lancl2,,
Gm21859,,
mmu-mir-1843a,,
Acot4,,
Abcg4,RGC candidate,BXD_Thy1_Cov
Cers3,,
Ms4a10,,
Iyd,,
Igf2bp2,,
Zbtb25,,
Rif1,RGC candidate,BXD_Thy1_Cov
Zbtb43,,
Sergef,,
A730020E08Rik,,
Vmn1r9,,
Gata3,,
Arfgap3,,
Actr1b,RGC candidate,"BXD_Thy1_Cov, SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75"
Slc6a19,,
Ppp2r5e,,
Gm15587,,
1700084C06Rik,,
Gm7073,,
Pnldc1,,
Gm26884,,
Dixdc1,,
Tmem126a,,
Trmt11,,
Dnmt3l,,
Mir6416,,
Olfr148,,
Stk26,,
Arid5b,,
Shisa3,RGC candidate,RGC_Type_32
Cyp4f39,,
Psg25,,
Tas2r118,,
Gne,,
Ccdc150,,
Rdh13,,
Strbp,Housekeeping,
Lysmd3,,
Eepd1,,
Trpv3,,
Sp9,,
Trim43c,,
Cd8b1,,
Foxc1,,
Exoc6b,,
Olfr460,,
Slc37a3,,
Arid3a,,
Olfr38,,
Efcab10,,
Lrch1,,
Fam83a,SY_informative,SY_informative
Tex24,,
Gm13944,,
Ccdc180,,
Sash3,,
Gm25745,,
Cyp2a5,,
Nfkbid,Microglia,SY adult sc_RNA-seq cluster 32 high = microglia
D030062O11Rik,,
Taf1b,RGC prime candidate,Goldberg PMID 24849368   Set-β differentially regulates axon growth and regeneration depending on subcellular localization and phosphorylation
Atp13a1,RGC candidate,BXD_Thy1_Cov
Pnpla1,,
Pcdha4,Housekeeping,
Mir5123,,
Olfr1223,,
Mir7659,,
Scgb2b17,,
Tspear,SY_informative,SY_informative
AW112010,,
Foxb2,,
Aldh3b3,,
AY512931,,
Zfp781,,
Gm17305,RGC candidate Dec18,
Ptpn2,,
Taar9,,
Slc18a1,,
Olfr889,,
Olfr1110,,
Gm15601,,
Gcm2,,
L3mbtl3,,
Dlgap5,,
9930111J21Rik1,,
Galntl5,,
9130227L01Rik,,Upregulated in D2 mutant relative to control by about a factor of 10.4990571967316
Defb47,,
Mir6907,,
3632451O06Rik,,
Kcns3,RGC master,RGC_Type_20
Snora43,Endothelium candidate,
Gfy,,
Arap2,,
Il4i1,,
Grhl1,,
Olfr1230,,
Kif13a,,
Magel2,,
9230114K14Rik,,
Ppp2r3c,,
H2-M2,,
Akap6,RGC prime candidate,"Enriched RGC  expression relative whole retina in Geisert data, Apara and Goldberg 2014 PMID: 25317150"
Pnoc,,
Mir1948,,
Gmcl1,RGC candidate,BXD_Thy1_Cov
1190003K10Rik,,
Gltscr1l,,
Il1rl1,,
Patl1,,
Agtr2,,
Ptk2,,
Zwilch,,
Insrr,,
Clnk,,
Casp14,,
Ttc30a2,,
Vps54,Unknown,Internal
Dlx1,,
Scarf2,,
Enpp1,,
Wdr70,,
Nfil3,,
Sult2a6,,
Cep192,,
4930563E18Rik,,
Gpr6,"RGC master, amacrine",RGC_Type_37
Pknox1,,
Vmn1r32,,
Tsga8,,
Exosc2,,
Snhg7,Endothelium candidate,
Dtnb,Amacrine,
Ror2,,
Asb10,,
Sohlh2,,
Utrn,"Amacrine, horizontal",
Chd3,Amacrine,
Zc3h12d,,
Gm12300,,Upregulated in D2 mutant relative to control by about a factor of 11.5650534255185
Gm13415,,
Cd3eap,,
Mag,,
Hdac9,,
1810011H11Rik,,
Gkn3,,
P2ry1,Amacrine low,
Cblb,,
Dck,,
Fam178b,,
Zfp503,,
Mrgprb5,,
Ugt2b5,,
Gm10033,,
Gm26584,,
4933417E11Rik,,
Mtnr1b,,
Slc22a3,"RGC master, amacrine",RGC_Type_34
Gm14548,,
Vmn2r107,,
Hes7,,
Blk,,
Batf2,,
Gm2093,,
Olfr99,,
Amer3,,
Bin1,,
Lrfn1,,
Cenpa,,
1500026H17Rik,,
Gm17231,,
Cdc42ep3,,
Nr6a1,,
Slc22a6,,
Hacd1,,
Gdf2,,
Mfsd9,,
mmu-mir-7055,,
Ythdc2,,
Isca1,,
Inca1,,
2810430I11Rik,,
Ptger4,,
Gm27747,,
Gm12061,,
Wdr91,,
Tmem55b,RGC prime candidate,High covariation with Tubb3
Zfp229,,
Gm37459,,
Myh13,RGC candidate,Rheaume RGC_Type_32
Mir3106,,
Vmn1r234,,
Kdm4b,,
Upb1,,
Platr5,,
Gm26580,,
Tmem151a,,
Dnal4,,
Gm597,,
Mmrn1,,
Sco1,,
1700123I01Rik,,
Gimap8,,
Adam19,,
Sdpr,Endothelium,SY_informative
Tm4sf4,,
Foxa1,,
Mycn,,
Olfr1015,,
Fbxo40,,
Edaradd,,
Tdrd1,,
Casp1,"RGC candidate, stress",
Car8,Bipolar low,"Cepko, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2665264/"
Rabl3,"RGC master, amacrine",RGC_Type_35
Slurp1,,
Tcerg1,RGC prime candidate,SY TSNE cluster 75L. High RGC/retina ratio in Geisert and high retinal epression.
Gm5114,,
H2-M1,,RGC high THY/CD ratio
Olfr19,,
Tssc1,,
RP23-201D22.6,,
Aifm2,,
9230009I02Rik,,
Gm1587,,
Scml4,,
Sfmbt1,,
Ank1,RGC candidate,BXD_Thy1_Cov
RP23-334M3.6,,
Trim36,,
Mkl1,,
Olfr845,,
Psg23,,
Cyp2ab1,,
Adam7,RGC master low,RGC_Type_18
Atp13a4,,
Gm27162,,
H1fx,RGC candidate,Covaries well with Cend1 and other RGC genes in Geisert exon
Nle1,,
Gdnf,,
Gm37443,,
Taf1d,,
Jade2,,
Lmnb2,,
Gm17108,,
Sval1,,
Fate1,,
Elac1,,
Prl3c1,,
Mipepos,,
Ephb6,,
Mir185,,
Cybrd1,,
Mir1942,,
Abcb1b,,
Ms4a15,,
Rnf222,,
Samt3,,
Olfr749,,
Haus6,,
Mrpl19,RGC candidate,High covariation with Tubb3
Npy6r,,
Cypt1,,
Gdf10,,
Trerf1,"RGC candidate, stress",
Zfp955b,,
Olfr987,,
Il1rl2,,
Olfr374,,
Vnn3,,
Olfr1444,,
Arhgap39,,
1700018A04Rik,,
Scrn3,,
Uap1l1,,
Tprg,,
Gpr50,,
Gm13544,,
Rbm33,,
Cd177,,
Lrrc3b,,
Abracl,,
4833418N02Rik,,
Hba-a1,,
Gdf6,,
Cpa1,,
9330182O14Rik,,
Vmn1r218,,
Teddm3,,
Usp3,,
Gm20611,,
Mrpl32,,
Arfgef1,RGC candidate Dec18,
Gm16034,,
Ldb3,,
mmu-mir-466c-1,,
Stx3,Unknown,
Gm21541,,
RP23-440C1.5,,
Cd3e,,
Gm15759,,
Dmrta1,,
Vmn1r235,,
Gm15743,,
Lcn4,Endothelium candidate,
Kif7,,
Olfr1537,,
Acta2,RGC candidate,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Commd1,"RGC candidate, stressed",
Gm20903,,Upregulated in D2 mutant relative to control by about a factor of 14.1797611565053
Tnfsf14,,
Vsig2,,
Haus4,,
BC037032,,
Sh2d7,,
Gm26732,,
Fbxw17,,
Mylip,,
Tle6,,
Cdc14b,,
Prrxl1,,
Gm26894,SY_informative,SY_informative
Tcp10a,,
Adra1a,RGC candidate,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Prl5a1,,
Jchain,,
Lhx1os,,
Olfr27,,
Slc22a17,Amacrine,
Gm37264,,
Myo1f,,
A330033J07Rik,,
Pacs1,RGC candidate,BXD_Thy1_Cov
Clp1,,
Slc39a9,,
Zfp964,,
Btnl2,,
Cst6,,
Pspc1,RGC candidate,BXD_Thy1_Cov
Wnt7b,,
Srd5a2,,
Dok1,,
Srbd1,,
Olfr1123,,
Mylk4,,
4930412O13Rik,,
Phf14,,
Dbhos,,
Myo15,,
Gm20649,,
Acsbg2,,
Cacna2d1,"Amacrine, bipolar, IOP control","High negataive covariation with ATF4 in D2 retina data of Pete Williams. Some RGC-retina enrichment in Geisert. Known glaucoma susceptibility gene (Chintalapudi), SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75, Macosko 2015 amacrine cells and bipolar cells but not RGCs"
Vmn2r101,,
Msantd2,,
Prkaa1,,
Rtn4r,RGC low,High covariation with Rbpms2
Gck,,
Fam83f,,
Ctsll3,,
Prr19,,
Apol9a,,
Mrpl50,,
Myo15,RGC candidate,"HSA_ThyRbpms_Cov,  "
Smim10l2a,,
Gpaa1,,
Jsrp1,,
Gm15591,,
Glrp1,,
Kif3c,RGC candidate,"BXD_Thy1_Cov, BXD_Amarcine, Geisert, but covaries well with NF eigengene. Covaries extremely well withhuman RGC master PC1 with r = 0.95"
Rpph1,,
Trpc3,,
Spata9,,
Gm6787,,
Clrn2,,
Naaladl1,,
Defb42,,
Il7,,
Olfr1499,,
Mill1,,
RP23-382L1.6,,
Six2,,
Ctla2b,,
Prl3b1,,
Ikzf2,,
Slc25a51,,
Fam217a,,
Lyzl1,,
Sybu,,
Samd3,RGC candidate,HSA_ThyRbpms_Cov  
Glis3,,
Tbx1,,
Cts3,,
H2-T3,,
Mos,,
RP24-295A5.2,,
Mir669d,,
Mycs,,
Gm28053,SY_informative,SY_informative
Uevld,,
Gm3005,SY_informative,SY_informative
Npas2,,
Mir466b-6,,
Cnga3,,
AI118078,,
Dbh,,
Ucn3,,
1700018B24Rik,,
Nipal1,,
Baat,,
Vps33b,RGC prime candidate,High covariation with all core RGC reference genes except Jam2
Gm25943,,
Olfr1013,,
Syk,,
Cdyl,,
Serpinb9d,,
Col6a2,,
Trip13,SY_informative,SY_informative
Pabpc2,,
Vmn2r81,,
Reep2,,
Ntrk1,"RGC master, horizontal",Chintalapudi 2016
9930111H07Rik,,
Fap,,
Cyp11b1,,
Cib2,,
Igfbp1,,
Tm4sf1,"Pericyte, endothelium",
Slfn5os,,Upregulated in D2 mutant relative to control by about a factor of 14.7831552482715
Myom1,,
Dsg2,,
Xkr9,,
Tusc3,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Ttc23l,,
1700017D01Rik,,
Pik3cg,,
Mllt4,,
Unc5cl,,
Gm23658,,
Prdm10,,
Il17f,,
2210010C04Rik,,
Farsb,,
Zfp804b,,
F9,,
Gls,Bipolar,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Olfr149,,
Gm26633,,
Gm27235,,
Zfp57,,
Snord96a,,
Naif1,,
9230117E06Rik,,
Gucy1b3,Amacrine,
Fnip2,,
Wwp1,,
1700007L15Rik,,
Aurkb,,
Akr1b7,,
Gm16702,,
Gm5382,,
Trmt12,,
Magix,,
2810032G03Rik,,
Igsf23,,
4921501E09Rik,,
Tktl2,,
Ngrn,RGC candidate,"Wiki_RGC,  "
Nobox,,
Myzap,,
Apc,Amacrine,"PMC2904021 by Kunzevitsky and Goldberg 2010, Geisert"
Prl7a1,,
Spink11,,
Mir669a-1,,
4933406C10Rik,,
Olfr1451,,
Gm16192,,
Mir669l,,
Olfr1496,,
Zfp28,,
1700003L19Rik,,
Pcbp3,,
Slc9a4,,
Gm25285,,
4933407L21Rik,,
Pvr,,
Inmt,,
Sgol1,,
Pdcd1lg2,,
Cyp1a1,,
Olfr890,,
Mir669f,,
Mir466b-8,,
Csdc2,RGC prime candidate,High covariation with Thy1 and 4 other core RGC signagtures
Gm15348,,
Snord90,,
Mllt3,,
Bmp15,,
Fam105a,,
Tmem182,,Upregulated in D2 mutant relative to control by about a factor of 17.950974230044
Catsperg2,,
Csnk1g1,,
Olfr1497,,
Gm6455,,
Rarres1,,
Prg3,,
Ubl7,Unknown,High covariation with all core RGC reference genes except Jam2
Reg3a,,
Adcy1,,
Prl2c5,,
Siah3,RGC candidate,"BXD_Thy1_Cov, SY_informative"
4930438E09Rik,SY_informative,SY_informative
Hivep2,,
Rhox6,,
Zdhhc14,,
Olfr1491,,
Cldn34b3,,
Slc25a41,,
Rad51d,,
Casp3,,
4931408C20Rik,,
Arhgap26,,
Mir297a-2,,
Vmn1r68,,
Boll,,
Defb48,,
Nmur2,,
Gpx2,,
Mir466m,,
Gnptab,,
Epb4.1l4aos,,
Defb1,,Upregulated in D2 mutant relative to control by about a factor of 12.0678818353237
Gm21454,,
Rnps1,,
Ccdc117,,
Gm3558,,
Mir466c-2,,
Gm13372,,
Gm15958,,
Gm16576,,
Robo4,Endothelium,
Esp16,,
Tmem135,,
Cpa2,,
Zcchc4,,
Zdhhc22,RGC candidate,BXD_Thy1_Cov
Lsm5,,
C130079G13Rik,,
Dkk1,,
Lrrcc1,,
Gm11985,,
Olfr843,,
2010109I03Rik,,
Mpst,,
Nptn,"RGC mixed, amacrine",Geisert
Brip1,,
Uba1y,,
Gm10860,,
Onecut3,"RGC master, amacrine",RGC_Type_37
Fam83g,,
Pnpla8,,
Trim14,,
Gm10553,,
Cypt15,,
Mir466b-7,,
Mrgprb8,,
Gm22858,,
Olfr1242,,
Mir669a-2,,
4933421I07Rik,,
Cfap44,,
Mir466b-5,,
Lnx1,Amacrine,
Rmdn1,,
Gm4297,,
Mir467a-6,,
Mir467a-7,,
Mir467a-8,,
Prl2a1,,
Rnf138,,
Vstm2b,"Amacrine low, bipolar (rod bipolar)",Sheckar 2016
Mir466g,,
Zdhhc16,,
Arhgap33,,
Evi5l,,
C1qtnf2,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Apol11a,,
Ddx10,RGC candidate,BXD_Thy1_Cov
Mir669k,,
Gm38342,,
Dym,,
Gm37814,,
Loxl2,Amacrine low,
Dhrs13,,
Mir669g,,
Gm37379,,
Olfm1,"RGC mixed, amacrine",High covariation with all core RGC reference genes except Jam2. Compatible with amacrine in Pinelli
Cask,RGC candidate,"RGC eigengene covariate. Also RGC candidate gene that is known to cause optic nerve hypoplasia and RGC loss in mouse KO  (Konark Muikherjee, see Liang et al., 2017). But in situ shos expressioin inner nuclear layer too, consistent with amacrine cells. Adult deletion has no effect on RGCs or optic nerve."
Mir669j,,
BC046251,Bipolar low (BC5A),Shekar 2016
Cep55,,Upregulated in D2 mutant relative to control by about a factor of 11.0119421747329
C5ar2,,
Hoxd12,,
Gm26792,,
4932411E22Rik,,
D930028M14Rik,,
Mir297b,,
